condition,conditionCode,corrFlash,corrBeeps,flashRespNum,beepRespNum,accuracy,altAccuracy
0F1B,1.0,0.0,1.0,,1.0,1,1
0F1B,1.0,0.0,1.0,,1.0,1,1
0F2B,2.0,0.0,2.0,,2.0,1,1
0F3B,3.0,0.0,3.0,,3.0,1,1
0F4B,4.0,0.0,4.0,,4.0,1,1
0F3B,3.0,0.0,3.0,,3.0,1,1
0F4B,4.0,0.0,4.0,,4.0,1,1
0F2B,2.0,0.0,2.0,,2.0,1,1
0F4B,4.0,0.0,4.0,,3.0,0,1
0F1B,1.0,0.0,1.0,,1.0,1,1
0F2B,2.0,0.0,2.0,,3.0,0,0
0F1B,1.0,0.0,1.0,,1.0,1,1
0F4B,4.0,0.0,4.0,,3.0,0,1
0F2B,2.0,0.0,2.0,,3.0,0,0
0F3B,3.0,0.0,3.0,,3.0,1,1
0F3B,3.0,0.0,3.0,,3.0,1,1
0F4B,4.0,0.0,4.0,,3.0,0,1
0F3B,3.0,0.0,3.0,,2.0,0,0
0F3B,3.0,0.0,3.0,,3.0,1,1
0F1B,1.0,0.0,1.0,,1.0,1,1
0F4B,4.0,0.0,4.0,,4.0,1,1
0F2B,2.0,0.0,2.0,,3.0,0,0
0F2B,2.0,0.0,2.0,,2.0,1,1
0F1B,1.0,0.0,1.0,,1.0,1,1
0F1B,1.0,0.0,1.0,,1.0,1,1
0F3B,3.0,0.0,3.0,,4.0,0,1
0F4B,4.0,0.0,4.0,,4.0,1,1
0F4B,4.0,0.0,4.0,,4.0,1,1
0F2B,2.0,0.0,2.0,,3.0,0,0
0F3B,3.0,0.0,3.0,,3.0,1,1
0F1B,1.0,0.0,1.0,,1.0,1,1
0F2B,2.0,0.0,2.0,,2.0,1,1
0F1B,1.0,0.0,1.0,,1.0,1,1
0F3B,3.0,0.0,3.0,,3.0,1,1
0F1B,1.0,0.0,1.0,,1.0,1,1
0F2B,2.0,0.0,2.0,,3.0,0,0
0F4B,4.0,0.0,4.0,,4.0,1,1
0F3B,3.0,0.0,3.0,,3.0,1,1
0F4B,4.0,0.0,4.0,,4.0,1,1
0F2B,2.0,0.0,2.0,,2.0,1,1
0F2B,2.0,0.0,2.0,,3.0,0,0
0F1B,1.0,0.0,1.0,,1.0,1,1
0F4B,4.0,0.0,4.0,,4.0,1,1
0F1B,1.0,0.0,1.0,,1.0,1,1
0F3B,3.0,0.0,3.0,,4.0,0,1
0F3B,3.0,0.0,3.0,,4.0,0,1
0F2B,2.0,0.0,2.0,,3.0,0,0
0F4B,4.0,0.0,4.0,,4.0,1,1
