wordList,condition,conditionCode,audioFile,trialType,corrFlash,corrBeeps,f1Start,f2Start,f3Start,f4Start,b1Start,b2Start,b3Start,b4Start,f1Color,f2Color,f3Color,f4Color,b1Vol,b2Vol,b3Vol,b4Vol,crossColor,crossContrast,firstResp,wordPresentation.thisRepN,wordPresentation.thisTrialN,wordPresentation.thisN,wordPresentation.thisIndex,flashPractice.thisRepN,flashPractice.thisTrialN,flashPractice.thisN,flashPractice.thisIndex,beepPractice.thisRepN,beepPractice.thisTrialN,beepPractice.thisN,beepPractice.thisIndex,equipmentInstr.started,equipmentInstr.stopped,equipmentPromise.keys,equipmentPromise.rt,equipmentPromise.started,equipmentPromise.stopped,welcomeTxt.started,welcomeTxt.stopped,goOnAndStart.keys,goOnAndStart.rt,goOnAndStart.started,goOnAndStart.stopped,helloWordTest.started,helloWordTest.stopped,key_resp_14.keys,key_resp_14.rt,key_resp_14.started,key_resp_14.stopped,preWordFixCross.started,preWordFixCross.stopped,wordText_2.started,wordText_2.stopped,wordListTime,text_7.started,text_7.stopped,text_8.started,text_8.stopped,helloInstr.started,helloInstr.stopped,beginPractPress.keys,beginPractPress.rt,beginPractPress.started,beginPractPress.stopped,text_4.started,text_4.stopped,key_resp_9.keys,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,practiceTypeHeader.started,practiceTypeHeader.stopped,fillInText.started,fillInText.stopped,firstResponseQ,flashCondition,flashCode,crossSetup.started,crossSetup.stopped,gratP1.started,gratP1.stopped,gratP2.started,gratP2.stopped,gratP3.started,gratP3.stopped,gratP4.started,gratP4.stopped,practiceBeep1.started,practiceBeep1.stopped,practiceBeeps2.started,practiceBeeps2.stopped,practiceBeeps3.started,practiceBeeps3.stopped,practiceBeeps4.started,practiceBeeps4.stopped,text_2.started,text_2.stopped,Border_1V.started,Border_1V.stopped,Border_2V.started,Border_2V.stopped,Border_3V.started,Border_3V.stopped,Border_4V.started,Border_4V.stopped,R1GeneralPrompt_3.started,R1GeneralPrompt_3.stopped,flashPromptTxt_2.started,flashPromptTxt_2.stopped,mouseClick1Vis.x,mouseClick1Vis.y,mouseClick1Vis.leftButton,mouseClick1Vis.midButton,mouseClick1Vis.rightButton,mouseClick1Vis.time,mouseClick1Vis.clicked_name,mouseClick1Vis.started,mouseClick1Vis.stopped,clickCounter,flashClick,flashRespNum,key_resp_12.keys,key_resp_12.rt,key_resp_12.started,key_resp_12.stopped,polygonVis_F1.started,polygonVis_F1.stopped,polygonVis_F2.started,polygonVis_F2.stopped,polygonVis_F3.started,polygonVis_F3.stopped,polygonVis_F4.started,polygonVis_F4.stopped,flashVisOpt1.started,flashVisOpt1.stopped,flashVisOpt2.started,flashVisOpt2.stopped,flashVisOpt3.started,flashVisOpt3.stopped,flashVisOpt4.started,flashVisOpt4.stopped,flashPic.started,flashPic.stopped,rollingOnVis.started,rollingOnVis.stopped,text_5.started,text_5.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,Border_1A.started,Border_1A.stopped,Border_2A.started,Border_2A.stopped,Border_3A.started,Border_3A.stopped,Border_4A.started,Border_4A.stopped,R1GeneralPrompt_4.started,R1GeneralPrompt_4.stopped,beepPrompt_uniAud.started,beepPrompt_uniAud.stopped,mouseClickAudB.x,mouseClickAudB.y,mouseClickAudB.leftButton,mouseClickAudB.midButton,mouseClickAudB.rightButton,mouseClickAudB.time,mouseClickAudB.clicked_name,mouseClickAudB.started,mouseClickAudB.stopped,beepClick,beepRespNum,key_resp_13.keys,key_resp_13.rt,key_resp_13.started,key_resp_13.stopped,polygonAud_B1.started,polygonAud_B1.stopped,polygonAud_B2.started,polygonAud_B2.stopped,polygonAud_B3.started,polygonAud_B3.stopped,polygonAud_B4.started,polygonAud_B4.stopped,beepAudOpt1.started,beepAudOpt1.stopped,beepAudOpt2.started,beepAudOpt2.stopped,beepAudOpt3.started,beepAudOpt3.stopped,beepAudOpt4.started,beepAudOpt4.stopped,speakerPic.started,speakerPic.stopped,rollingOnAud.started,rollingOnAud.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Kitten,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,78.48129855887964,79.68172279396094,79.66165260993876,78.48129855887964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
Umpire,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,16,15,,,,,,,,,,,,,,,,,,,,,,,,,,,82.67239948990755,83.87282283883542,83.85287270904519,82.67239948990755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
Market,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,86.86365523887798,88.06407671887428,88.05399290798232,86.86365523887798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
Tunnel,,,,,,,,,,,,,,,,,,,,,,,,,,0,18,18,14,,,,,,,,,,,,,,,,,,,,,,,,,,,91.054844714934,92.25516961002722,92.24522720393725,91.054844714934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
Beggar,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,95.25603418890387,96.45640473393723,96.4464799829293,95.25603418890387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.47,99.44719837303273,100.64760633488186,100.6375915480312,None,104.63878096500412,None,space,221.19828355801292,104.71881744405255,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325.9419170219917,None,space,4.271095386939123,326.0220106500201,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
,1F0B,5,silence_102021.wav,1 flash,1,0,12,19,20,21,0,6,12,18,0,1,1,1,0,0,0,0,white,1,f,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.3331896539312,None,330.3331896539312,None,f,1F0B,5,333.30404244200327,None,334.1243094508536,334.1341945119202,334.1943423380144,334.20437710988335,334.20437710988335,334.21431657206267,334.21431657206267,334.22435465897433,334.0042521204101,None,334.0641413273057,None,334.12420909435025,None,334.1843740553828,None,334.22435465897433,None,335.0145492819138,None,335.0145492819138,None,335.0145492819138,None,335.0145492819138,None,335.0145492819138,None,335.0145492819138,None,[-0.23697916666666666],[-0.0013020833333333333],[1],[0],[0],[1.5438326590228826],['polygonVis_F1'],0.002215701388195157,None,0,['polygonVis_F1'],1,space,0.5061896489933133,336.5548863799777,None,335.0145492819138,None,335.0145492819138,None,335.0145492819138,None,335.0145492819138,None,335.0145492819138,None,335.0145492819138,None,335.0145492819138,None,335.0145492819138,None,335.0145492819138,None,335.0145492819138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
,2F0B,10,silence_102021.wav,2 flashes,2,0,9,15,20,21,0,6,12,18,0,0,1,1,0,0,0,0,white,1,f,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.1050856630318,None,337.1050856630318,None,f,2F0B,10,340.0959901220631,None,340.88623245898634,340.89618095499463,340.9462371459231,340.95621781097725,340.9962048318703,341.0063013948966,341.0063013948966,341.01618345687166,340.7962501293747,None,340.85622937444134,None,340.91619091623,None,340.9762411033968,None,341.01618345687166,None,341.78644964983687,None,341.78644964983687,None,341.78644964983687,None,341.78644964983687,None,341.78644964983687,None,341.78644964983687,None,[-0.053385416666666664],[-0.018229166666666668],[1],[0],[0],[0.5198746689129621],['polygonVis_F2'],0.007774846162647009,None,0,['polygonVis_F2'],2,space,0.48247943818569183,342.30659804889,None,341.78644964983687,None,341.78644964983687,None,341.78644964983687,None,341.78644964983687,None,341.78644964983687,None,341.78644964983687,None,341.78644964983687,None,341.78644964983687,None,341.78644964983687,None,341.78644964983687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
,3F0B,15,silence_102021.wav,3 flashes,3,0,5,11,17,20,0,6,12,18,0,0,0,1,0,0,0,0,white,1,f,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342.82677432498895,None,342.82677432498895,None,f,3F0B,15,345.8176089168992,None,346.567835212918,346.577769405907,346.6278907570522,346.6378333058674,346.6878666388802,346.69780545705,346.71790135791525,346.7278546928428,346.51779403726107,None,346.5778480603127,None,346.63790360444693,None,346.6978794862749,None,346.7278546928428,None,347.4981334179174,None,347.4981334179174,None,347.4981334179174,None,347.4981334179174,None,347.4981334179174,None,347.4981334179174,None,[0.11328125],[-0.0013020833333333333],[1],[0],[0],[1.21020771516487],['polygonVis_F3'],0.007817199220880866,None,0,['polygonVis_F3'],3,space,0.05458030593581498,348.71849584486336,None,347.4981334179174,None,347.4981334179174,None,347.4981334179174,None,347.4981334179174,None,347.4981334179174,None,347.4981334179174,None,347.4981334179174,None,347.4981334179174,None,347.4981334179174,None,347.4981334179174,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
,4F0B,20,silence_102021.wav,4 flashes,4,0,0,6,12,18,0,6,12,18,0,0,0,0,0,0,0,0,white,1,f,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.8084903249983,None,348.8084903249983,None,f,4F0B,20,351.80930408393033,None,352.50944753503427,352.51942214602605,352.5694844019599,352.5794351249933,352.6294270460494,352.6394589319825,352.6895849178545,352.69974783295766,352.5094321624143,None,352.5694458463928,None,352.62944049437067,None,352.68945598534776,None,352.69974783295766,None,353.4699479958508,None,353.4699479958508,None,353.4699479958508,None,353.4699479958508,None,353.4699479958508,None,353.4699479958508,None,[0.19010416666666666],[-0.010416666666666666],[1],[0],[0],[0.35904018208384514],['polygonVis_F4'],0.007761414395645261,None,0,['polygonVis_F4'],4,space,0.04517214419320226,353.7998783609364,None,353.4699479958508,None,353.4699479958508,None,353.4699479958508,None,353.4699479958508,None,353.4699479958508,None,353.4699479958508,None,353.4699479958508,None,353.4699479958508,None,353.4699479958508,None,353.4699479958508,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.8898967150599,None,space,5.72907562693581,353.9800062410068,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
,0F1B,1,,1  beep,0,1,0,6,12,18,12,16,17,18,1,1,1,1,1,0,0,0,white,1,b,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359.7515644498635,None,359.7515644498635,None,b,0F1B,1,362.7223691728432,None,363.4227685809601,363.43270637188107,363.4827863019891,363.4926436129026,363.54279592284,363.55265817488544,363.6027260120027,363.6127560150344,363.54258993037513,None,363.582665029238,None,363.5928019674262,None,363.60264054245783,None,363.6127560150344,None,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.39294278388843,None,364.39294278388843,None,364.39294278388843,None,364.39294278388843,None,364.39294278388843,None,364.39294278388843,None,[-0.18229166666666666],[-0.006510416666666667],[1],[0],[0],[2.6262177841272205],['polygonAud_B1'],0.004298082552850246,None,['polygonAud_B1'],1,space,0.6155416499823332,367.01354688196443,None,364.39294278388843,None,364.39294278388843,None,364.39294278388843,None,364.39294278388843,None,364.39294278388843,None,364.39294278388843,None,364.39294278388843,None,364.39294278388843,None,364.39294278388843,None,364.39294278388843,None,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
,0F2B,2,,2 beeps,0,2,0,6,12,18,9,15,18,18,1,1,1,1,1,1,0,0,white,1,b,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367.6838211219292,None,367.6838211219292,None,b,0F2B,2,370.68479426088743,None,371.3848688318394,371.394814676838,371.444976340048,371.45486914599314,371.50494267605245,371.514991580043,371.5649033389054,371.5748873760458,371.474915596447,None,371.53503008934206,None,371.5649180494016,None,371.5649180494016,None,371.5748873760458,None,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.355155430967,None,372.355155430967,None,372.355155430967,None,372.355155430967,None,372.355155430967,None,372.355155430967,None,"[0.03125, -0.029947916666666668]","[0.06640625, 0.024739583333333332]","[1, 1]","[0, 0]","[0, 0]","[1.1600196128711104, 1.509311537956819]",['polygonAud_B2'],0.007732485421001911,None,['polygonAud_B2'],2,space,0.6615014399867505,373.85555003094487,None,372.355155430967,None,372.355155430967,None,372.355155430967,None,372.355155430967,None,372.355155430967,None,372.355155430967,None,372.355155430967,None,372.355155430967,None,372.355155430967,None,372.355155430967,None,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
,0F3B,3,,3 beeps,0,3,0,6,12,18,5,11,17,20,1,1,1,1,1,1,1,0,white,1,b,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.54582487093285,None,374.54582487093285,None,b,0F3B,3,377.5466956880409,None,378.2469096679706,378.2568751568906,378.30685691698454,378.3168718079105,378.3668899568729,378.3768742340617,378.4270108209457,378.4369737969246,378.2968394663418,None,378.3569986312883,None,378.41679186632393,None,378.4469866443193,None,378.4369737969246,None,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.2170669490006,None,379.2170669490006,None,379.2170669490006,None,379.2170669490006,None,379.2170669490006,None,379.2170669490006,None,[0.06901041666666667],[0.015625],[1],[0],[0],[1.1192294380161911],['polygonAud_B3'],0.007774691330268979,None,['polygonAud_B3'],3,space,0.5736174900084734,380.3274477538653,None,379.2170669490006,None,379.2170669490006,None,379.2170669490006,None,379.2170669490006,None,379.2170669490006,None,379.2170669490006,None,379.2170669490006,None,379.2170669490006,None,379.2170669490006,None,379.2170669490006,None,0,001,2023_May_04_1845,SIFI_RandomRespOrder_AttemptGratingBackto3Beeps_111022_MERGINGFINAL,2021.2.3,100.01731199911264,
